Rk,Player,Tm,Age,Pos,Games G,Games GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Lng,Receiving R/G,Receiving Y/G,Receiving Ctch%,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,Rushing Y/A,Rushing Y/G,Rushing A/G,Total Yds Touch,Total Yds Y/Tch,Total Yds YScm,RRTD,Fmb
96,Tyler Lockett,SEA,24,WR,15,9,66,41,597,14.6,1,57,2.7,39.8,62.10%,6,114,1,75,19,7.6,0.4,47,15.1,711,2,0
97,Chris Thompson,WAS,26,,16,0,62,49,349,7.1,2,38,3.1,21.8,79.00%,68,356,3,25,5.2,22.3,4.3,117,6,705,5,2
98,Christine Michael,2TM,26,,15,7,29,22,107,4.9,1,13,1.5,7.1,75.90%,148,583,7,42,3.9,38.9,9.9,170,4.1,690,8,2
99,Chris Hogan,NWE,28,WR,15,14,58,38,680,17.9,4,79,2.5,45.3,65.50%,3,9,0,6,3,0.6,0.2,41,16.8,689,4,1
100,Jordan Reed,WAS,26,TE,12,8,89,66,686,10.4,6,33,5.5,57.2,74.20%,,,,,,,,66,10.4,686,6,1
101,Jalen Richard,OAK,23,,16,0,39,29,194,6.7,2,29,1.8,12.1,74.40%,83,491,1,75,5.9,30.7,5.2,112,6.1,685,3,0
102,Travis Benjamin,SDG,27,WR,14,8,75,47,677,14.4,4,54,3.4,48.4,62.70%,2,-3,0,-1,-1.5,-0.2,0.1,49,13.8,674,4,5
103,Giovani Bernard,CIN,25,rb,10,2,51,39,336,8.6,1,32,3.9,33.6,76.50%,91,337,2,17,3.7,33.7,9.1,130,5.2,673,3,1
104,Jason Witten,DAL,34,TE,16,16,95,69,673,9.8,3,35,4.3,42.1,72.60%,,,,,,,,69,9.8,673,3,1
105,Tavon Austin,LAR,26,WR,15,15,106,58,509,8.8,3,43,3.9,33.9,54.70%,28,159,1,30,5.7,10.6,1.9,86,7.8,668,4,5
106,Jeremy Kerley,SFO,28,WR,16,13,115,64,667,10.4,3,33,4,41.7,55.70%,,,,,,,,64,10.4,667,3,4
107,Matt Asiata,MIN,29,rb,16,6,38,32,263,8.2,0,31,2,16.4,84.20%,121,402,6,29,3.3,25.1,7.6,153,4.3,665,6,1
108,Tyler Boyd,CIN,22,wr,16,2,81,54,603,11.2,1,30,3.4,37.7,66.70%,4,58,0,39,14.5,3.6,0.3,58,11.4,661,1,1
109,Cameron Brate,TAM,25,TE,15,10,81,57,660,11.6,8,38,3.8,44,70.40%,,,,,,,,57,11.6,660,8,1
110,Jacquizz Rodgers,TAM,26,rb,10,5,16,13,98,7.5,0,21,1.3,9.8,81.30%,129,560,2,45,4.3,56,12.9,142,4.6,658,2,0
111,Mohamed Sanu,ATL,27,WR,15,15,81,59,653,11.1,4,59,3.9,43.5,72.80%,1,5,0,5,5,0.3,0.1,60,11,658,4,1
112,JJ Nelson,ARI,24,wr,15,6,74,34,568,16.7,6,80,2.3,37.9,45.90%,4,83,1,56,20.8,5.5,0.3,38,17.1,651,7,1
113,Randall Cobb,GNB,26,WR,13,10,84,60,610,10.2,4,47,4.6,46.9,71.40%,10,33,0,14,3.3,2.5,0.8,70,9.2,643,4,1
114,Adam Humphries,TAM,23,wr,15,4,83,55,622,11.3,2,42,3.7,41.5,66.30%,5,18,0,8,3.6,1.2,0.3,60,10.7,640,2,3
115,Coby Fleener,NOR,28,TE,16,8,81,50,631,12.6,3,50,3.1,39.4,61.70%,1,2,1,2,2,0.1,0.1,51,12.4,633,4,2
116,Will Fuller,HOU,22,WR,14,13,92,47,635,13.5,2,53,3.4,45.4,51.10%,1,-3,0,-3,-3,-0.2,0.1,48,13.2,632,2,2
117,Taylor Gabriel,ATL,25,wr,13,3,50,35,579,16.5,6,76,2.7,44.5,70.00%,4,51,1,27,12.8,3.9,0.3,39,16.2,630,7,0
118,Robby Anderson,NYJ,23,wr,16,8,78,42,587,14,2,52,2.6,36.7,53.80%,3,42,0,30,14,2.6,0.2,45,14,629,2,1
119,Mike Gillislee,BUF,26,rb,15,1,11,9,50,5.6,1,18,0.6,3.3,81.80%,101,577,8,44,5.7,38.5,6.7,110,5.7,627,9,1
120,Derrick Henry,TEN,22,rb,15,2,15,13,137,10.5,0,29,0.9,9.1,86.70%,110,490,5,22,4.5,32.7,7.3,123,5.1,627,5,0
121,Chris Ivory,JAX,28,rb,11,1,28,20,186,9.3,0,37,1.8,16.9,71.40%,117,439,3,42,3.8,39.9,10.6,137,4.6,625,3,5
122,Robert Woods,BUF,24,WR,13,10,76,51,613,12,1,34,3.9,47.2,67.10%,1,6,0,6,6,0.5,0.1,52,11.9,619,1,0
123,Paul Perkins,NYG,22,rb,14,1,24,15,162,10.8,0,67,1.1,11.6,62.50%,112,456,0,22,4.1,32.6,8,127,4.9,618,0,1
124,Gary Barnidge,CLE,31,TE,16,16,82,55,612,11.1,2,43,3.4,38.3,67.10%,,,,,,,,55,11.1,612,2,0
125,Eli Rogers,PIT,24,wr,13,8,66,48,594,12.4,3,39,3.7,45.7,72.70%,1,6,0,6,6,0.5,0.1,49,12.2,600,3,2
126,Terrance Williams,DAL,27,WR,16,15,61,44,594,13.5,4,47,2.8,37.1,72.10%,,,,,,,,44,13.5,594,4,1
127,Victor Cruz,NYG,30,WR,15,12,72,39,586,15,1,48,2.6,39.1,54.20%,,,,,,,,39,15,586,1,1
128,Anquan Boldin,DET,36,WR,16,16,95,67,584,8.7,8,35,4.2,36.5,70.50%,,,,,,,,67,8.7,584,8,0
129,Jack Doyle,IND,26,TE,16,14,75,59,584,9.9,5,24,3.7,36.5,78.70%,,,,,,,,59,9.9,584,5,1
130,Vernon Davis,WAS,32,TE/wr,16,14,59,44,583,13.3,2,44,2.8,36.4,74.60%,,,,,,,,44,13.3,583,2,0
131,DeAndre Washington,OAK,23,rb,14,2,23,17,115,6.8,0,18,1.2,8.2,73.90%,87,467,2,30,5.4,33.4,6.2,104,5.6,582,2,1
132,Tyrod Taylor,BUF,27,QB,15,15,0,0,0,,0,0,0,0,0.00%,95,580,6,49,6.1,38.7,6.3,95,6.1,580,6,4
133,C.J. Anderson,DEN,25,rb,7,7,24,16,128,8,1,25,2.3,18.3,66.70%,110,437,4,28,4,62.4,15.7,126,4.5,565,5,0
134,Brian Quick,LAR,27,wr,16,8,77,41,564,13.8,3,65,2.6,35.3,53.20%,,,,,,,,41,13.8,564,3,0
135,C.J. Fiedorowicz,HOU,25,TE,15,15,89,54,559,10.4,4,26,3.6,37.3,60.70%,,,,,,,,54,10.4,559,4,1
136,Doug Martin,TAM,27,RB,8,8,16,14,134,9.6,0,27,1.8,16.8,87.50%,144,421,3,17,2.9,52.6,18,158,3.5,555,3,1
137,Charles Clay,BUF,27,TE,15,15,87,57,552,9.7,4,40,3.8,36.8,65.50%,,,,,,,,57,9.7,552,4,0
138,Antonio Gates,SDG,36,TE,14,9,93,53,548,10.3,7,27,3.8,39.1,57.00%,,,,,,,,53,10.3,548,7,1
139,Kenneth Dixon,BAL,22,,12,0,41,30,162,5.4,1,16,2.5,13.5,73.20%,88,382,2,20,4.3,31.8,7.3,118,4.6,544,3,1
140,Rob Gronkowski,NWE,27,te,8,6,38,25,540,21.6,3,53,3.1,67.5,65.80%,,,,,,,,25,21.6,540,3,0
141,Phillip Dorsett,IND,23,wr,15,7,59,33,528,16,2,64,2.2,35.2,55.90%,2,10,0,7,5,0.7,0.1,35,15.4,538,2,1
142,Jeremy Maclin,KAN,28,WR,12,12,76,44,536,12.2,2,44,3.7,44.7,57.90%,1,-1,0,-1,-1,-0.1,0.1,45,11.9,535,2,0
143,Matt Jones,WAS,23,rb,7,7,8,8,73,9.1,0,16,1.1,10.4,100.00%,99,460,3,57,4.6,65.7,14.1,107,5,533,3,3
144,Chris Conley,KAN,24,WR,16,11,69,44,530,12,0,39,2.8,33.1,63.80%,,,,,,,,44,12,530,0,1
145,Zach Zenner,DET,25,rb,14,4,23,18,196,10.9,0,33,1.3,14,78.30%,88,334,4,20,3.8,23.9,6.3,106,5,530,4,1
146,John Brown,ARI,26,wr,15,6,73,39,517,13.3,2,30,2.6,34.5,53.40%,1,10,0,10,10,0.7,0.1,40,13.2,527,2,1
147,Tajae Sharpe,TEN,22,WR,16,10,83,41,522,12.7,2,34,2.6,32.6,49.40%,1,1,0,1,1,0.1,0.1,42,12.5,523,2,0
